form,sound,meaning,type,etymology
菹,zu1,"marshland; swamp; salted or pickled vegetables; to mince; to shred; to mince human flesh and bones; Taiwan pr. [ju1]",pictophonetic,"plant"
菽,shu1,"legumes (peas and beans)",pictophonetic,"plant"
萁,qi2,"stalks of pulse",pictophonetic,"plant"
萃,cui4,"collect; collection; dense; grassy; thick; assemble; gather",pictophonetic,"grass"
萄,tao2,"used in 葡萄[pu2 tao5]",pictophonetic,"plant"
萆,bi4,"castor seed",pictophonetic,"plant"
苌,chang2,"surname Chang",pictophonetic,"plant"
苌,chang2,"plant mentioned in Book of Songs, uncertainly identified as carambola or star fruit (Averrhoa carambola)",pictophonetic,"plant"
莱,lai2,"name of weed plant (fat hen, goosefoot, pigweed etc); Chenopodium album",pictophonetic,"grass"
萋,qi1,"Celosia argentea; luxuriant",pictophonetic,"grass"
萌,meng2,"(bound form) to sprout; to bud; (coll.) cute; adorable (orthographic borrowing from Japanese 萌え ""moe"", affection for an anime or manga character); (literary) common people (variant of 氓[meng2])",pictophonetic,"plant"
萍,ping2,"duckweed",pictophonetic,"grass"
萎,wei3,"to wither; to drop; to decline; spiritless; Taiwan pr. [wei1]",pictophonetic,"plant"
萏,dan4,"lotus",pictophonetic,"plant"
萑,huan2,"a kind of reed",pictophonetic,"grass"
萘,nai4,"naphthalene C10H8",pictophonetic,
萜,tie1,"terpene (chemistry)",pictophonetic,
万,wan4,"surname Wan",,
万,wan4,"ten thousand; a great number",,
萱,xuan1,"orange day-lily (Hemerocallis flava)",pictophonetic,"plant"
萱,xuan1,"old variant of 萱[xuan1]",pictophonetic,"plant"
莴,wo1,"used in 萵苣|莴苣[wo1ju4]; used in 萵筍|莴笋[wo1sun3]",pictophonetic,"plant"
萸,yu2,"cornelian cherry",pictophonetic,"plant"
萼,e4,"calyx of a flower",pictophonetic,"plant"
落,la4,"to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind",pictophonetic,"plant"
落,lao4,"colloquial reading for 落[luo4] in certain compounds",pictophonetic,"plant"
落,luo4,"to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement",pictophonetic,"plant"
葄,zuo4,"straw cushion; pillow",pictophonetic,"grass"
葆,bao3,"dense foliage; to cover",pictophonetic,"grass"
叶,ye4,"surname Ye",,
叶,ye4,"leaf; page; lobe; (historical) period; classifier for small boats",,
葑,feng1,"turnip",pictophonetic,"plant"
荭,hong2,"used in 葒草|荭草[hong2 cao3]",pictophonetic,"herb"
着,zhao1,"(chess) move; trick; all right!; (dialect) to add",,
着,zhao2,"to touch; to come in contact with; to feel; to be affected by; to catch fire; to burn; (coll.) to fall asleep; (after a verb) hitting the mark; succeeding in",,
着,zhe5,"aspect particle indicating action in progress or ongoing state",,
着,zhuo2,"to wear (clothes); to contact; to use; to apply",,
著,zhu4,"to make known; to show; to prove; to write; book; outstanding",pictophonetic,"plant"
葙,xiang1,"see 青葙, feather cockscomb (Celosia argentea)",pictophonetic,"plant"
葚,shen4,"fruit of mulberry; also pr. [ren4]",pictophonetic,"plant"
葛,ge3,"surname Ge",pictophonetic,"plant"
葛,ge2,"kudzu (Pueraria lobata); hemp cloth",pictophonetic,"plant"
参,shen1,"variant of 參|参[shen1]",pictophonetic,
葡,pu2,"Portugal; Portuguese; abbr. for 葡萄牙[Pu2 tao2 ya2]",pictophonetic,"plant"
葡,pu2,"used in 葡萄[pu2 tao5]",pictophonetic,"plant"
董,dong3,"surname Dong",pictophonetic,"plant"
董,dong3,"to supervise; to direct; director",pictophonetic,"plant"
荮,zhou4,"(dialect) to wrap with straw; classifier for a bundle (of bowls, dishes etc) tied with straw",pictophonetic,"grass"
苇,wei3,"reed; rush; Phragmites communis",pictophonetic,"grass"
葩,pa1,"corolla of flower",pictophonetic,"plant"
葫,hu2,"used in 葫蘆|葫芦[hu2lu5]",pictophonetic,"plant"
葬,zang4,"to bury (the dead); to inter",ideographic,"A corpse 死 laid 廾 to rest under the grass 艹"
葭,jia1,"reed; Phragmites communis",pictophonetic,"grass"
药,yao4,"leaf of the iris; variant of 藥|药[yao4]",pictophonetic,"plant"
葳,wei1,"luxuriant",pictophonetic,"grass"
葵,kui2,"used in the names of various herbaceous plants",pictophonetic,"plant"
葶,ting2,"Draba nemerosa bebe carpa",pictophonetic,"grass"
荤,hun1,"strong-smelling vegetable (garlic etc); non-vegetarian food (meat, fish etc); vulgar; obscene",pictophonetic,"plant"
荤,xun1,"used in 葷粥|荤粥[Xun1yu4]",pictophonetic,"plant"
葸,xi3,"feel insecure; unhappy",pictophonetic,"heart"
葺,qi4,"to repair",pictophonetic,"grass"
蒂,di4,"stem (of fruit)",pictophonetic,"plant"
蒎,pai4,"pinane",pictophonetic,
蒐,sou1,"madder (Rubia cordifolia); to hunt, esp. in spring; to gather; to collect",,
莼,chun2,"edible water plant; Brasenia schreberi",pictophonetic,"plant"
莳,shi2,"used in 蒔蘿|莳萝[shi2 luo2]",pictophonetic,"herb"
莳,shi4,"(literary) to grow; (literary) to transplant; Taiwan pr. [shi2]",pictophonetic,"herb"
蒗,lang4,"(herb); place name",pictophonetic,"herb"
蒙,meng2,"surname Meng",pictophonetic,"plant"
蒙,meng3,"Mongol ethnic group; abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2]; Taiwan pr. [Meng2]",pictophonetic,"plant"
蒙,meng1,"(knocked) unconscious; dazed; stunned",pictophonetic,"plant"
蒙,meng2,"to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat",pictophonetic,"plant"
蒜,suan4,"garlic; CL:頭|头[tou2],瓣[ban4]",pictophonetic,"herb"
莅,li4,"to attend (an official function); to be present; to administer; to approach (esp. as administrator)",ideographic,"A place 位 where grass 艹 grows; 立 also provides the pronunciation"
蒟,ju3,"betel",pictophonetic,"plant"
蒡,bang4,"Arctium lappa; great burdock",pictophonetic,"plant"
蒦,huo4,"(archaic) to measure",,
蒭,chu2,"old variant of 芻|刍[chu2]",ideographic,"To mow 芻 grass 艹; 芻 also provides the pronunciation"
蒯,kuai3,"a rush; scirpus cyperinus",ideographic,"A shoot 萠 that is cut 刂 for building material"
蒲,pu2,"surname Pu; old place name",pictophonetic,"plant"
蒲,pu2,"refers to various monocotyledonous flowering plants including Acorus calamus and Typha orientalis; common cattail; bullrush",pictophonetic,"plant"
蒴,shuo4,"pod; capsule",pictophonetic,"plant"
蒸,zheng1,"to evaporate; (of cooking) to steam; torch made from hemp stalks or bamboo (old); finely chopped firewood (old)",ideographic,"Steam 烝 provides the meaning and sound"
蒹,jian1,"reed",pictophonetic,"grass"
蒺,ji2,"Tribulus terrestris",pictophonetic,"plant"
蒻,ruo4,"young rush (Typha japonica), a kind of cattail",pictophonetic,"grass"
苍,cang1,"surname Cang",pictophonetic,"grass"
苍,cang1,"dark blue; deep green; ash-gray",pictophonetic,"grass"
蒽,en1,"anthracene",pictophonetic,
蒿,hao1,"celery wormwood (Artemisia carvifolia); to give off; to weed",pictophonetic,"plant"
荪,sun1,"fragrant grass",pictophonetic,"grass"
蓁,zhen1,"abundant, luxuriant vegetation",pictophonetic,"grass"
蓂,ming2,"lucky place",pictophonetic,"grass"
蓄,xu4,"to store up; to grow (e.g. a beard); to entertain (ideas)",pictophonetic,"plant"
席,xi2,"variant of 席[xi2]; woven mat",ideographic,"A cloth 巾 or straw 艹 mat in the house 广"
蓉,rong2,"short name for Chengdu 成都[Cheng2 du1]",pictophonetic,"flower"
蓉,rong2,"paste made by mashing beans or seeds etc; used in 芙蓉[fu2 rong2], lotus",pictophonetic,"flower"
蓊,weng3,"luxuriant vegetation",pictophonetic,"grass"
盖,ge3,"surname Ge",ideographic,"A dish 皿 with a lid 羊"
盖,gai4,"lid; top; cover; canopy; to cover; to conceal; to build",ideographic,"A dish 皿 with a lid 羊"
蓍,shi1,"yarrow (Achillea millefolium)",pictophonetic,"plant"
蓐,ru4,"mat; rushes",pictophonetic,"grass"
蓑,suo1,"rain coat made of straw etc",pictophonetic,"grass"
蓓,bei4,"(flower) bud",pictophonetic,"plant"
蓔,yao3,"a variety of grass",pictophonetic,"grass"
蓔,zhuo2,"old variant of 䅵[zhuo2]",pictophonetic,"grass"
蓖,bi4,"the castor-oil plant",pictophonetic,"plant"
参,shen1,"variant of 參|参[shen1]",pictophonetic,
蓬,peng2,"surname Peng",pictophonetic,"plant"
蓬,peng2,"fleabane (family Asteraceae); disheveled; classifier for luxuriant plants, smoke, ashes, campfires: clump, puff",pictophonetic,"plant"
莲,lian2,"lotus",pictophonetic,"flower"
苁,cong1,"Boschniakia glabra",pictophonetic,"herb"
蓰,xi3,"(grass); increase five fold",pictophonetic,"grass"
莼,chun2,"edible water plant; Brasenia schreberi",pictophonetic,"plant"
蓼,liao3,"polygonum; smartweed",pictophonetic,"grass"
蓼,lu4,"luxuriant growth",pictophonetic,"grass"
荜,bi4,"bean; pulse",pictophonetic,"plant"
蓿,xu4,"clover; lucerne; Taiwan pr. [su4]",pictophonetic,"grass"
菱,ling2,"variant of 菱[ling2]",pictophonetic,"grass"
蔌,su4,"surname Su",ideographic,"Plants 艹 that can be eaten 欶; 欶 also provides the pronunciation"
蔌,su4,"(literary) vegetables",ideographic,"Plants 艹 that can be eaten 欶; 欶 also provides the pronunciation"
蔑,mie4,"to belittle; nothing",,
蔓,man2,"used in 蔓菁[man2 jing5]",ideographic,"A long 曼 plant 艹 ; 曼 also provides the pronunciation"
蔓,man4,"creeper; to spread",ideographic,"A long 曼 plant 艹 ; 曼 also provides the pronunciation"
卜,bo2,"used in 蘿蔔|萝卜[luo2 bo5]",pictographic,"A crack on an oracle bone"
蒂,di4,"variant of 蒂[di4]",pictophonetic,"plant"
蔗,zhe4,"sugar cane",pictophonetic,"plant"
蔚,yu4,"surname Yu; place name",pictophonetic,"grass"
蔚,wei4,"Artemisia japonica; luxuriant; resplendent; impressive",pictophonetic,"grass"
蒌,lou2,"Arthemisia vulgaris; piper betel",pictophonetic,"grass"
蔟,cu4,"collect; frame for silk worm; nest",pictophonetic,"grass"
蔡,cai4,"surname Cai",,
蒋,jiang3,"surname Jiang; Chiang Kai-shek 蔣介石|蒋介石[Jiang3 Jie4shi2]",pictophonetic,"grass"
葱,cong1,"scallion; green onion",pictophonetic,"grass"
茑,niao3,"parasitic mistletoe (Loranthus parasiticus), esp. on the mulberry",pictophonetic,"weed"
蔫,nian1,"to fade; to wither; to wilt; listless",pictophonetic,"grass"
蔬,shu1,"vegetables",pictophonetic,"plant"
荫,yin4,"shade",ideographic,"Shade 阴 provided by a tree 艹; 阴 also provides the pronunciation"
麻,ma2,"variant of 麻[ma2]; hemp",ideographic,"Hemp plants 林 growing in a greenhouse 广"
蔸,dou1,"root and lower stem of certain plants; classifier for pieces and clumps",pictophonetic,"plant"
蔻,kou4,"used in 豆蔻[dou4 kou4]",pictophonetic,"herb"
蔽,bi4,"to cover; to shield; to screen; to conceal",pictophonetic,"grass"
荨,qian2,"used in 蕁麻|荨麻[qian2 ma2]; also pr. [xun2]",pictophonetic,"grass"
蕃,bo1,"see 吐蕃[Tu3 bo1]",pictophonetic,"grass"
蕃,fan1,"variant of 番[fan1]; foreign (non-Chinese)",pictophonetic,"grass"
蕃,fan2,"luxuriant; flourishing; to reproduce; to proliferate",pictophonetic,"grass"
蒇,chan3,"to complete; to prepare",,
蕈,xun4,"mold; mushroom",pictophonetic,"plant"
蕉,jiao1,"banana",pictophonetic,"plant"
蕉,qiao2,"see 蕉萃[qiao2 cui4]",pictophonetic,"plant"
蕊,rui3,"stamen; pistil",pictophonetic,"plant"
蕊,rui3,"variant of 蕊[rui3]",pictophonetic,"plant"
荞,qiao2,"used in 蕎麥|荞麦[qiao2 mai4]",ideographic,"A tall 乔 grass 艹; 乔 also provides the pronunciation"
蕑,jian1,"surname Jian",pictophonetic,"plant"
蕑,jian1,"Eupatorium chinensis",pictophonetic,"plant"
荬,mai3,"used in 苣蕒菜|苣荬菜[qu3mai5cai4]",pictophonetic,"plant"
芸,yun2,"see 蕓薹|芸薹[yun2 tai2]",pictophonetic,"plant"
莸,you2,"Caryopteris divaricata",pictophonetic,"plant"
蕖,qu2,"lotus",pictophonetic,"plant"
荛,rao2,"fuel; grass",pictophonetic,"grass"
蕙,hui4,"Coumarouna odorata",pictophonetic,"plant"
萼,e4,"old variant of 萼[e4]",pictophonetic,"plant"
蕞,zui4,"to assemble; small",pictophonetic,"grass"
蕠,ru2,"variant of 茹[ru2]; see 蕠藘[ru2 lu:2]",pictophonetic,"plant"
蒉,kui4,"surname Kui",pictophonetic,"plant"
蒉,kui4,"Amaranthus mangostanus",pictophonetic,"plant"
蕤,rui2,"fringe; overladen with flowers",pictophonetic,"grass"
蕨,jue2,"Pteridium aquilinum; bracken",pictophonetic,"plant"
荡,dang4,"to wash; to squander; to sweep away; to move; to shake; dissolute; pond",ideographic,"Hot water 汤 wiping out plant life 艹; 汤 also provides the pronunciation"
芜,wu2,"overgrown with weeds",pictophonetic,"weed"
萧,xiao1,"surname Xiao",pictophonetic,"solemn"
萧,xiao1,"miserable; desolate; dreary; Chinese mugwort",pictophonetic,"solemn"
蓣,yu4,"see 薯蕷|薯蓣[shu3 yu4]",pictophonetic,"plant"
蕹,weng4,"water spinach or ong choy (Ipomoea aquatica), used as a vegetable in south China and southeast Asia; Taiwan pr. [yong1]",pictophonetic,"plant"
蕺,ji2,"Houttuynia cordata",pictophonetic,"plant"
蕻,hong2,"used in 雪裡蕻|雪里蕻[xue3 li3 hong2]; Taiwan pr. [hong4]",pictophonetic,"grass"
蕻,hong4,"(literary) luxuriant; flourishing; (literary) bud; (dialect) long stem of certain vegetables",pictophonetic,"grass"
蕾,lei3,"bud",pictophonetic,"plant"
萱,xuan1,"old variant of 萱[xuan1]",pictophonetic,"plant"
薄,bo2,"surname Bo",pictophonetic,"grass"
薄,bao2,"thin; cold in manner; indifferent; weak; light; infertile",pictophonetic,"grass"
薄,bo2,"meager; slight; weak; ungenerous or unkind; frivolous; to despise; to belittle; to look down on; to approach or near",pictophonetic,"grass"
薄,bo4,"see 薄荷[bo4 he5]",pictophonetic,"grass"
薅,hao1,"to weed; to grip or clutch",pictophonetic,"weed"
薇,wei1,"Osmunda regalis, a species of fern; Taiwan pr. [wei2]",pictophonetic,"plant"
荟,hui4,"to flourish; luxuriant growth",pictophonetic,"grass"
蓟,ji4,"surname Ji; ancient Chinese city state near present-day Beijing",pictophonetic,"plant"
蓟,ji4,"cirsium; thistle",pictophonetic,"plant"
芗,xiang1,"aromatic herb used for seasoning; variant of 香[xiang1]",pictophonetic,"herb"
薏,yi4,"see 薏苡[yi4 yi3]",pictophonetic,"plant"
姜,jiang1,"ginger",ideographic,"Simplified form of 薑; grass 艹 provides the meaning while 畺 provides the pronunciation"
蔷,qiang2,"used in 薔薇|蔷薇[qiang2 wei1]",pictophonetic,"flower"
剃,ti4,"shave; to weed",pictophonetic,"knife"
薛,xue1,"surname Xue; vassal state during the Zhou Dynasty (1046-256 BC)",ideographic,"A kind of bitter 辛 grass 艹"
薛,xue1,"wormwood like grass (classical)",ideographic,"A kind of bitter 辛 grass 艹"
薜,bi4,"Ficus pumila",pictophonetic,"plant"
莶,lian3,"variant of 蘞|蔹[lian3]; Taiwan pr. [lian4]",pictophonetic,"plant"
莶,xian1,"used in 豨薟|豨莶[xi1xian1]; Taiwan pr. [lian4]",pictophonetic,"plant"
薤,xie4,"Allium bakeri; shallot; scallion",pictophonetic,"grass"
荐,jian4,"to recommend; to offer sacrifice (arch.); grass; straw mat",ideographic,"A perennial; grass 艹 that survives 存 year-after-year"
薨,hong1,"death of a prince; swarming",pictophonetic,"death"
萨,sa4,"Bodhisattva; surname Sa",,
薪,xin1,"(literary) firewood; fuel; (bound form) salary",ideographic,"Freshly-cut 新 wood 艹; 新 also provides the pronunciation"
薯,shu3,"potato; yam",pictophonetic,"plant"
熏,xun1,"fragrance; warm; to educate; variant of 熏[xun1]; to smoke; to fumigate",pictophonetic,"fire"
薰,xun1,"sweet-smelling grass; Coumarouna odorata; tonka beans; coumarin",pictophonetic,"herb"
薳,wei3,"surname Wei",pictophonetic,"herb"
苧,ning2,"(used as a bound form in 薴烯|苧烯[ning2 xi1], limonene); tangled; in disarray",pictophonetic,"grass"
薶,mai2,"old variant of 埋[mai2]",ideographic,"A fox 貍 burying something in the grass 艹"
薶,wo1,"to make dirty; to soil",ideographic,"A fox 貍 burying something in the grass 艹"
薷,ru2,"Elshotria paltrini",pictophonetic,"plant"
薹,tai2,"Carex dispalatha",pictophonetic,"grass"
荠,ji4,"see 薺菜|荠菜[ji4 cai4]",pictophonetic,"plant"
荠,qi2,"used in 荸薺|荸荠[bi2qi2]",pictophonetic,"plant"
藁,gao3,"variant of 槁[gao3]",pictophonetic,"grass"
藇,xu4,"surname Xu",pictophonetic,"grass"
藇,xu4,"beautiful",pictophonetic,"grass"
借,jie4,"variant of 借[jie4]",pictophonetic,"person"
藉,ji2,"surname Ji",ideographic,"A plow 耤 is the means used to grow crops 艹"
藉,ji2,"to insult; to walk all over (sb)",ideographic,"A plow 耤 is the means used to grow crops 艹"
藉,jie4,"sleeping mat; to placate",ideographic,"A plow 耤 is the means used to grow crops 艹"
蓝,lan2,"surname Lan",pictophonetic,"plant"
蓝,lan2,"blue; indigo plant",pictophonetic,"plant"
荩,jin4,"Arthraxon ciliare; loyal",pictophonetic,"weed"
藏,zang4,"Tibet; abbr. for Xizang or Tibet Autonomous Region 西藏[Xi1 zang4]",pictophonetic,"grass"
藏,cang2,"to conceal; to hide away; to harbor; to store; to collect",pictophonetic,"grass"
藏,zang4,"storehouse; depository; Buddhist or Taoist scripture",pictophonetic,"grass"
藐,miao3,"to despise; small; variant of 渺[miao3]",,
藒,qie4,"see 藒車|藒车[qie4 che1]",pictophonetic,"herb"
藕,ou3,"root of lotus",pictophonetic,"plant"
藘,lu:2,"madder",pictophonetic,"plant"
藜,li2,"name of weed plant (fat hen, goosefoot, pigweed etc); Chenopodium album",pictophonetic,"grass"
艺,yi4,"skill; art",pictophonetic,"grass"
藤,teng2,"rattan; cane; vine",pictophonetic,"plant"
药,yao4,"medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種|种[zhong3],服[fu4],味[wei4]; to poison",pictophonetic,"plant"
藨,biao1,"kind of raspberry",pictophonetic,"plant"
藩,fan1,"fence; hedge; (literary) screen; barrier; vassal state; Taiwan pr. [fan2]",pictophonetic,"grass"
薮,sou3,"marsh; gathering place",pictophonetic,"grass"
苈,li4,"Drabanemerosa hebecarpa",pictophonetic,"plant"
薯,shu3,"variant of 薯[shu3]",pictophonetic,"plant"
蔼,ai3,"friendly",pictophonetic,"grass"
蔺,lin4,"surname Lin",pictophonetic,"grass"
蔺,lin4,"juncus effusus",pictophonetic,"grass"
藻,zao3,"aquatic grasses; elegant",pictophonetic,"grass"
萱,xuan1,"old variant of 萱[xuan1]",pictophonetic,"plant"
藿,huo4,"Lophanthus rugosus; beans",pictophonetic,"herb"
蕊,rui3,"variant of 蕊[rui3]",pictophonetic,"plant"
蕲,qi2,"(herb); implore; pray; place name",pictophonetic,"herb"
蘅,heng2,"Asarum blumei (wild ginger plant)",pictophonetic,"herb"
芦,lu2,"rush; reed; Phragmites communis",pictophonetic,"grass"
苏,su1,"surname Su; abbr. for Soviet Union 蘇維埃|苏维埃[Su1wei2ai1] or 蘇聯|苏联[Su1lian2]; abbr. for Jiangsu 江蘇|江苏[Jiang1su1]; abbr. for Suzhou 蘇州|苏州[Su1zhou1]",pictophonetic,"plant"
