id,form,meaning,type,etymology
9350,糕,"variant of 糕[gao1]",pictophonetic,"rice"
9351,饩,"grain ration; sacrificial victim",pictophonetic,"food"
9352,馈,"(literary) to make an offering to the gods; variant of 饋|馈[kui4]",ideographic,"Expensive 贵 food 饣; 贵 also provides the pronunciation"
9353,馏,"to distill; to break a liquid substance up into components by boiling",ideographic,"Distilled 留 wine 饣; 留 also provides the pronunciation"
9354,馏,"to steam; to cook in a steamer; to reheat cold food by steaming it",ideographic,"Distilled 留 wine 饣; 留 also provides the pronunciation"
9355,馊,"rancid; soured (as food)",ideographic,"Old 叟 food 饣; 叟 also provides the pronunciation"
9356,馍,"small loaf of steamed bread",pictophonetic,"food"
9357,馒,"used in 饅頭|馒头[man2 tou5]",pictophonetic,"food"
9358,馐,"delicacies",pictophonetic,"food"
9359,馑,"time of famine or crop failure",ideographic,"A time of little 堇 food 饣; 堇 also provides the pronunciation"
9360,馓,"used in 饊子|馓子[san3 zi5]",pictophonetic,"food"
9361,馈,"(bound form) to present (a gift); (bound form) to send; to transmit",ideographic,"Expensive 贵 food 饣; 贵 also provides the pronunciation"
